PERMNO,RP_ENTITY_ID
13112,FB7C4C
13113,F776B9
13115,882D9D
13116,1279ED
13119,EC8841
13121,19443B
13123,8AAB38
13124,A0843E
13126,A95BCB
13132,FA71E8
13133,53AC9C
13134,5FC800
13139,02FFB9
13140,5E678F
13141,BDE462
13142,467C65
13159,25D3CE
13160,41731B
13161,3BBF8D
13162,F7DF90
13163,51C1BF
13167,2BB351
13168,D82EF3
13169,227F04
13172,995059
13180,C3BDBB
13181,279916
13185,363877
13188,CEC5B9
13191,64D45D
13196,629F0F
13198,16293D
13201,58C2D4
13202,2BDC1C
13203,7A223C
13204,D3FB58
13209,816A83
13210,88923D
13222,732FAE
13225,8300F4
13227,EE116C
13244,D20C8F
13249,B8F5C8
13250,492855
13253,F6DE54
13254,D6EC8B
13260,73BCBA
13261,D7634C
13262,0B7375
13263,6346EC
13264,998148
13265,6A1190
13267,ACBAA1
13276,0C88B0
13277,BBD31D
13278,49914B
13279,C2EA92
13280,B7103B
13284,9EA947
13285,410EA0
13286,D9B7A5
13292,C4D73B
13294,C8D865
13298,BE168B
13299,C09F0A
13302,513A86
13303,D90441
13304,A71217
13305,37020C
13309,DFCBC4
13310,32FBE9
13314,BD4869
13315,82E6EC
13316,791D59
13317,5EC8A1
13318,943239
13319,35A64A
13320,1A7DB0
13323,C44D01
13324,C93C44
13325,F4F82F
13326,5F1B7B
13327,2244B5
13328,FBD92D
13329,FF5DEC
13330,52C89D
13331,E0E4DF
13332,2DDB22
13336,B847EC
13337,93475C
13340,424655
13342,C49D62
13343,52BF94
13349,323C60
13350,A733DD
13352,B9D09D
13353,B5A6BF
13356,3FACA7
13358,8EEA28
13365,207400
13366,972C33
13367,E17D17
13369,766804
13372,E5F40E
13373,690484
13374,8170F7
13375,5403F8
13376,81DBC6
13377,C5D2AE
13378,AA01D8
13379,2F9304
13380,8928CC
13382,634B55
13384,998DB5
13385,134459
13388,F29447
13391,73109F
13393,51CE18
13395,A1BBD4
13396,5EF329
13399,AA3AB8
13400,DF0A44
13401,633043
13402,D4B9FC
13403,E595CF
13404,8FB241
13405,4AC574
13406,0DEE20
13407,12E454
13408,65973D
13409,46BE00
13410,931E75
13411,E1E4E4
13412,371283
13429,270B78
13430,2744EF
13431,10961D
13432,B32BAA
13438,EB9245
13439,D9164D
13447,BB88B6
13453,CCB623
13454,B4B383
13455,F0EC7C
13456,AC9AE3
13470,0A8E54
13500,A96B61
13502,00D833
13507,4290EF
13508,3159AA
13509,C84BB3
13511,A52B6B
13519,94AFD3
13520,C8A059
13521,141223
13524,095C79
13525,24AC83
13526,ADA6FB
13527,C5D687
13528,449217
13529,BD6573
13532,9C8664
13533,A94091
13534,735388
13535,78EA73
13536,1B647C
13537,054B55
13543,2DA651
13544,B1B2C8
13545,C9199D
13546,0E4C49
13547,FC6998
13548,BB02FB
13551,287618
13552,A22D56
13553,F9C421
13554,F9C421
13556,344D63
