permno,rp_entity_id
13707,F2208B
13712,D29F43
13714,A96DB7
13721,665D7D
13730,3DDE54
13732,BEAA99
13737,5A9648
13738,FD8EAF
13739,72C2CE
13743,A05C43
13748,F0B877
13749,0EEA3A
13750,C5A764
13751,28AA72
13755,86B99A
13756,9EBAFA
13757,B803B1
13760,56CC0A
13763,86ACF2
13766,6BD606
13769,BB13B3
13773,F7C41F
13775,BD682F
13777,73F70F
13783,5E3C1A
13786,6CB9D8
13787,DF5F14
13788,C03C8B
13789,B040DB
13796,CC3EC4
13797,5B97B2
13798,CA616E
13802,373B06
13809,E81C64
13812,7DDF82
13816,B54A74
13820,3AD326
13825,2ABF77
13828,5FFD9A
13837,3B5606
13843,16C544
13844,EBD988
13856,013528
13860,858942
13862,731675
13863,5968F9
13867,B88FDB
13870,96A6CD
13876,0325B7
13877,8E93A4
13878,D683EC
13879,6FFE1F
13883,A52302
13885,56F8E2
13887,54A713
13894,8AC740
13895,6CD267
13901,2BA977
13904,C2609A
13907,92D9C9
13908,6F92A9
13911,7E3F8F
13917,6A2868
13918,6DECE5
13919,966DBE
13921,FF4343
13924,5A53BF
13928,FE89E0
13930,BE5430
13933,3B9FC5
13935,59A832
13936,414FFF
13939,DCBE4D
13941,EF8F50
13947,67303E
13949,87B81A
13954,F0B335
13956,6634D9
13959,E754F0
13962,3DD5E2
13963,DD1BA1
13964,DD1BA1
13965,F209B4
13967,CAB222
13969,383ADA
13970,AF8976
13976,E01B06
13978,19973C
13983,F18844
13987,0FDEEB
13999,AB16FC
14003,4A7814
14008,76F067
14009,012BBE
14019,EB8B9A
14030,56765E
14033,68D31D
14037,EFDADF
14044,451D61
14045,B2D492
14046,8AE457
14049,E7CE45
14050,92CDC0
14051,57B00D
14053,F8DC91
14056,446A70
14060,C5C319
14061,ED3CA8
14071,AA1EAA
14072,546A27
14075,469A7F
14076,8DCBBB
14088,0C0597
14089,8B23E2
14092,A9AF01
14093,C21C54
14097,9645E6
14102,1B9535
14107,6B95E8
14127,CBDFEC
14132,F798D3
14133,5C403C
14134,D388BF
14135,66C815
14136,85DA04
14137,A8D7FC
14141,2E360C
14144,F7B8AC
14145,48F795
14151,5FC167
14158,0B828A
14166,0F2BC9
14167,805CD8
14169,B9764A
14172,7DD239
14177,1C7543
14179,20D00A
14181,30AB63
14182,A72AB6
14183,C2DD02
14185,64E615
14193,O6EK6N
14194,O6EK6N
14195,O6EK6N
14196,DD7A96
14205,EB893A
14213,102F04
14215,CBE1F9
14221,4D8124
14224,92F355
14229,AAEE21
14231,A1E3B3
14232,0467ED
14235,B4A1FF
14239,ED9C04
14240,D731FB
14245,B0D41A
14246,1C4F78
14252,6F0A63
14257,5433E5
14258,119B4D
14262,65D0AA
14263,C941DC
14266,3317D1
14268,E08431
14272,4CABD5
14273,E577ED
14274,67B923
14276,96BFF4
14277,164D72
14280,42B2AF
14291,570BBF
14296,E6FA80
14297,9A3FF4
14299,F48427
14300,B31E27
14301,C8712E
14303,34846B
14308,D02307
14310,2A9C0A
14313,7E71AD
14316,F47871
14317,550D01
14318,8E9CD8
14325,112B6F
14326,3C0936
14328,A3800A
14329,2F1299
14332,2D5F89
14336,586927
14338,66E04A
14339,4D9F33
14353,19B15D
14355,EE3174
14356,9D6C34
14359,4BDCA7
14379,A6CBD9
14380,762B05
14392,874546
14401,8802B4
14406,583223
14417,D614AE
14418,8FFABD
14420,EDC41F
14421,6E7050
14422,3F1C69
14424,88DD78
14430,0F4944
14431,C01737
14432,BDEC1E
14433,408380
14434,99028D
14435,BBE54A
14436,C564E4
14440,701531
14442,4A6655
14444,654525
14449,590630
14450,9E3045
14452,818494
14456,763DBE
14457,C4F9C6
14458,2C8289
14459,FB7724
14465,5020DD
14466,129944
14467,9E575E
14468,93FAB1
14469,728889
14472,C0F70B
14479,3B8484
14487,0DC050
14489,068396
14490,CEC08B
14493,5120FB
14495,44209A
14497,78658E
14503,99ACAD
14505,9F4A7D
14507,7F37DE
14514,68730B
14516,3DCECC
14520,064013
14521,7CBC40
14522,D63A65
14523,0D2D95
14526,EF77A3
14530,69EB4C
14531,0F0693
14532,F769E9
14535,DB9F70
14540,2D0184
14541,D54E62
14542,4A6F00
14543,84920B
14544,954004
14545,513F56
14546,BACF7B
14547,6ADA0F
14548,F0C267
14550,C584BE
14551,ECF0A7
14554,2CA60F
14555,F9AA02
14556,A0AD58
14558,3B20AB
14559,EF7163
14565,425040
14566,B3A166
14572,1220D5
14574,A4A612
14575,B33335
14579,7F9984
14580,5A0FF1
14591,E72783
14593,D8442A
14595,C19109
14596,192727
14599,661139
14601,41785E
14603,3AF7FD
14604,72EF75
14607,B1B268
14608,8B3EA0
14609,7239BB
14610,7CAD2B
14611,2A0B98
14615,64636E
14616,D77D62
14617,32E873
14618,5E8488
14619,CA1AE3
14625,A8FDE8
14631,9D1E7E
14632,4C350A
14636,7ABC5B
14642,676D71
14645,651C85
14647,BC6620
14650,A429A5
14651,D11C1C
14653,4BD6DB
14655,3188EC
14661,33A590
14663,5B49B6
14666,7B6B39
14668,AC9CE5
14670,0CC01F
14674,DDC25F
14675,2A9948
14676,F576F6
14677,A9FE55
14682,31DB20
14683,7620A1
14684,061A3B
14686,726DDF
14687,0CEF73
14688,0E5619
14689,B5DA6D
14690,4E6F5A
14693,BAD655
14694,55ACCB
14702,A4BCDE
14705,BABDA9
14706,3D4BD0
14708,5385B7
14710,D7761D
14711,5C529B
14713,7D4104
14714,3DC887
14715,387375
14716,C4A241
14717,C6C148
14720,8FBAA9
14721,713FF8
14734,823A33
14751,845533
14754,1101A9
14759,A403CF
14761,295F9F
14763,44A4FC
14771,9E117E
14773,B7FA9B
14774,691437
14776,3D9999
14777,5BAFDF
14778,DBCEEB
14781,769F40
14782,C4A912
14783,5DC409
14785,64F2C1
14786,10CAC8
14790,DF18E6
14791,C563D1
14795,66749D
14797,FDF799
14801,0AB3CF
14803,AED61E
14807,26D8ED
14809,8A92C3
14810,E99180
14811,B803B1
14812,A52533
14813,E743AE
14815,966ACE
14816,5D0EAE
14818,5732E0
14820,A00453
14822,E7BF32
14823,6B67BD
14826,F9B1E5
14828,31803E
14830,5876DC
14836,F48947
14852,C307BC
14855,29CEBF
14861,3F2BAD
14862,443C71
14865,90861D
14872,A58224
14873,A58224
14877,14E0B8
14879,E8E57E
14882,34A959
14884,4DD09F
14888,0BB903
14889,BFE02C
14908,779D3D
14919,07CF3E
14923,B81686
14924,A97E53
14925,693ECD
14927,8D0EEA
14928,C96C46
14932,5480A7
14934,503A58
14935,8417F8
14937,9B3B58
14939,E4CE73
14941,A5DD24
